strategy,strategy_label,lr_head,lr_backbone,lr_tune_trials,n_replicas,macro_f1_mean,macro_f1_std,f1_Nematode_mean,f1_Healthy_mean,wilcoxon_p_vs_none,macro_f1_fmt,n_pairs_vs_none
none,Sin mitigacion (CE),0.001570297088405539,6.251373574521755e-05,15,15,0.8992937891443269,0.01285035483527859,0.8934194115063679,0.8581760000522073,,0.8993 +/- 0.0129,
class_weights,Ponderacion por clase,0.0011740085777673128,3.3934786634650136e-05,15,15,0.8983395598470616,0.01320275732832074,0.8405532717416777,0.8730095430608393,0.846923828125,0.8983 +/- 0.0132,15.0
focal,Focal Loss gamma=2,0.0010918624982885101,5.80391983244997e-05,15,15,0.8951001700561806,0.01614647579156777,0.8857837138706703,0.8572634094112517,0.42120361328125,0.8951 +/- 0.0161,15.0
oversampling,Oversampling,0.0001717601367892612,2.674118010238555e-05,15,15,0.9020126956495147,0.009446181873208155,0.880894074256393,0.8734004209843397,0.22930908203125,0.9020 +/- 0.0094,15.0
