model,fold,seed,phase,best_macro_f1,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,weighted_f1,total_run_time_s,run_id,f1_Bacteria,f1_Fungi,f1_Healthy,f1_Nematode,f1_Pest,f1_Phytopthora,f1_Virus
vit_base_patch16_224.augreg_in1k,0,42,final,0.8653320716035948,17,0.8814531548757171,0.9083438344324736,0.8411622273357127,0.9083438344324736,0.8824020204873555,297.89138650894165,bdec08d4217d4273a4bfb143353e48c5,0.9743589743589745,0.8464730290456431,0.8571428571428571,0.75,0.8421052631578947,0.8739495798319328,0.9132947976878611
vit_base_patch16_224.augreg_in1k,1,42,final,0.8798256946422968,7,0.8891013384321224,0.906272913794824,0.8612393431613763,0.906272913794824,0.889067710707704,198.7284162044525,55f8d20f960d446cbf40e0104af3f8cc,0.9846153846153848,0.869198312236287,0.821917808219178,0.8571428571428571,0.8461538461538461,0.8813559322033898,0.8983957219251337
vit_base_patch16_224.augreg_in1k,2,42,final,0.8966973135219367,12,0.9024856596558316,0.9000041493830336,0.8950590710737771,0.9000041493830336,0.9024775606571054,261.98121404647827,c8d9d5a3e11048f888a57e76c7b14fb6,0.9844559585492229,0.8992248062015504,0.7887323943661971,0.9166666666666666,0.8556701030927835,0.9491525423728814,0.8829787234042553
vit_base_patch16_224.augreg_in1k,3,42,final,0.8731454759066278,13,0.875717017208413,0.8882950692722272,0.8630338403959206,0.8882950692722272,0.8761595020400719,279.4768545627594,4600033ab76c4c1c8f87293592bfc66b,0.979381443298969,0.8292682926829268,0.7948717948717948,0.8695652173913043,0.8095238095238095,0.912280701754386,0.9171270718232044
vit_base_patch16_224.augreg_in1k,4,42,final,0.8692715083500763,17,0.89272030651341,0.8980161491617421,0.8553337091520993,0.8980161491617421,0.8936706010623664,293.0513982772827,5b017bae5414424888caf4ee6ab6d302,0.9574468085106383,0.8837209302325582,0.8333333333333334,0.7586206896551724,0.8878048780487805,0.8468468468468469,0.9171270718232044
vit_base_patch16_224.augreg_in1k,0,137,final,0.8729372423930364,15,0.8833652007648184,0.8868747034819319,0.865293309287512,0.8868747034819319,0.8830794931722555,293.4320824146271,a122870fa7834c57a43d7788a6d0abb1,0.9543147208121828,0.8648648648648649,0.8823529411764706,0.7857142857142857,0.8282828282828283,0.8928571428571429,0.9021739130434784
vit_base_patch16_224.augreg_in1k,1,137,final,0.8685255998004424,15,0.8795411089866156,0.8866706232555414,0.8579002187049662,0.8866706232555414,0.8799074590326859,294.5476086139679,804ec3443512456bb6634035e84dea03,0.9846153846153848,0.8560606060606061,0.8493150684931506,0.7857142857142857,0.8059701492537313,0.9026548672566372,0.8953488372093024
vit_base_patch16_224.augreg_in1k,2,137,final,0.8641773715668947,12,0.875717017208413,0.8863641094133091,0.8490785806717932,0.8863641094133091,0.8761565543497274,267.8595678806305,eabe0c959f014a92afa6052a4391f4dd,0.9743589743589745,0.8571428571428571,0.7692307692307693,0.8461538461538461,0.84375,0.8870967741935484,0.8715083798882681
vit_base_patch16_224.augreg_in1k,3,137,final,0.8727619149335519,7,0.8680688336520076,0.8951304894513216,0.857771599993605,0.8951304894513216,0.8681936507403363,204.4509079456329,d9fe6ad3a82e491eafc6c73426ebab96,0.9595959595959596,0.8244897959183674,0.7848101265822784,0.9166666666666666,0.7980769230769231,0.9217391304347826,0.903954802259887
vit_base_patch16_224.augreg_in1k,4,137,final,0.8703486635095116,9,0.8850574712643678,0.8838796516415867,0.8606286364687176,0.8838796516415867,0.8851066503275322,225.8809239864349,3f2732471cde46f6b344830c5176df2c,0.96875,0.8740157480314961,0.8450704225352113,0.8,0.848780487804878,0.8596491228070176,0.8961748633879781
vit_base_patch16_224.augreg_in1k,0,2026,final,0.8679567302192287,11,0.8661567877629063,0.8883720765019539,0.852318062001002,0.8883720765019539,0.8653003390128305,252.2138671875,55ab6494a03443d39db6f0101817bb68,0.979381443298969,0.8050847457627118,0.8918918918918919,0.8461538461538461,0.7981220657276995,0.8429752066115702,0.9120879120879121
vit_base_patch16_224.augreg_in1k,1,2026,final,0.9015818250371781,15,0.9063097514340345,0.9154954330050844,0.8907554322095138,0.9154954330050844,0.9064560558130059,297.3890702724457,23c761bdb8d34344929465f7ed2f1a0d,0.9743589743589743,0.9098039215686274,0.821917808219178,0.9230769230769231,0.8712871287128713,0.9217391304347826,0.8888888888888888
vit_base_patch16_224.augreg_in1k,2,2026,final,0.8853051934618497,11,0.892925430210325,0.8905490628954217,0.8820301104844743,0.8905490628954217,0.893040825182053,253.7357907295227,18df895e00514706ab2032d933fbddef,0.9791666666666666,0.8787878787878788,0.8,0.88,0.8556701030927835,0.9230769230769231,0.8804347826086957
vit_base_patch16_224.augreg_in1k,3,2026,final,0.8725334333114556,18,0.887189292543021,0.8967096394679717,0.8568070136739875,0.8967096394679717,0.8879597797843455,290.99155497550964,a1e710432ce64e39a20e0f66ccd7fc7e,0.9791666666666666,0.8571428571428571,0.7848101265822784,0.8,0.8059701492537313,0.9298245614035088,0.9508196721311475
vit_base_patch16_224.augreg_in1k,4,2026,final,0.8701482771976242,13,0.8888888888888888,0.8798091996292461,0.8635643257949255,0.8798091996292461,0.888737170639995,277.69097661972046,4840a3dd91404917b24f3ccd6531046e,0.9587628865979382,0.8705882352941177,0.8421052631578947,0.782608695652174,0.8743718592964824,0.8495575221238938,0.9130434782608695
