model,fold,seed,phase,best_macro_f1,best_epoch,accuracy,balanced_accuracy,macro_precision,macro_recall,weighted_f1,total_run_time_s,run_id,f1_Bacteria,f1_Fungi,f1_Healthy,f1_Nematode,f1_Pest,f1_Phytopthora,f1_Virus
vit_base_patch16_224,1,42,final,0.904141934818677,18,0.9024856596558317,0.9151159428274933,0.8957439950249119,0.9151159428274933,0.9025541163891431,293.08842873573303,068697cbdf0e483f83554393cbe179e0,0.9847715736040609,0.9024390243902439,0.8611111111111112,0.96,0.8651162790697674,0.8666666666666667,0.8888888888888888
vit_base_patch16_224,2,42,final,0.8933063125137075,5,0.8910133843212237,0.8885010308951443,0.8986897581698263,0.8885010308951443,0.8914080806062501,195.10505294799805,743e7f969bc64fd0b766adb5c103f318,0.96875,0.8571428571428571,0.8484848484848485,0.9166666666666666,0.8516746411483254,0.9043478260869565,0.9060773480662984
vit_base_patch16_224,3,42,final,0.8846854734283738,4,0.8738049713193117,0.8943846710190536,0.883157764613057,0.8943846710190536,0.873998323594527,186.5622661113739,d6a782859ad34515a9b41d8d34cdc66e,0.9508196721311475,0.8404669260700389,0.85,0.9523809523809523,0.8163265306122449,0.8833333333333333,0.8994708994708994
vit_base_patch16_224,4,42,final,0.8935646274790522,15,0.9137931034482759,0.8993385043685562,0.889755886626996,0.8993385043685562,0.9136782981247181,338.25669503211975,b41db0d7cddc4a12af88e618c2432833,0.9789473684210527,0.8842975206611571,0.8823529411764706,0.782608695652174,0.9065420560747663,0.8688524590163934,0.9513513513513514
vit_base_patch16_224,0,137,final,0.9218327690401082,13,0.9216061185468452,0.9310008298090929,0.9160158698733938,0.9310008298090929,0.9214132474826608,301.1511266231537,4ae793646770463f8ded4e39207ab956,0.9740932642487047,0.9118773946360154,0.8918918918918919,0.96,0.8955223880597015,0.875,0.9444444444444444
vit_base_patch16_224,1,137,final,0.8876942766128318,15,0.904397705544933,0.9122734003962366,0.8714633581634053,0.9122734003962366,0.9050012206304011,325.44204354286194,c9264510a3074de694587a810bcb1877,0.9897959183673469,0.896,0.8169014084507042,0.8275862068965517,0.8666666666666667,0.8983050847457628,0.9186046511627907
vit_base_patch16_224,2,137,final,0.8925373095017864,19,0.9024856596558317,0.9170441381356987,0.8762496702675235,0.9170441381356987,0.9021988335715588,307.46165680885315,cf08620c8fc94501b1bdad977774d8a5,0.9897959183673469,0.8695652173913043,0.8695652173913043,0.8275862068965517,0.8615384615384616,0.9166666666666666,0.9130434782608695
vit_base_patch16_224,3,137,final,0.9029027989554306,6,0.9063097514340345,0.9197094988582135,0.8934544380925004,0.9197094988582135,0.9067267181511923,194.11068439483643,b1e51d27bcc842d8a32f697e31a8f9bc,0.9789473684210527,0.8872180451127819,0.8311688311688312,0.9166666666666666,0.8615384615384616,0.9107142857142857,0.9340659340659341
vit_base_patch16_224,4,137,final,0.8845710535139606,13,0.9022988505747126,0.8962362200513047,0.8768048962151138,0.8962362200513047,0.902527607185104,280.97980999946594,75c481e4a70941dba55b64868cee31f3,0.9735449735449735,0.8837209302325582,0.8571428571428571,0.8,0.8780487804878049,0.8596491228070176,0.9398907103825137
vit_base_patch16_224,0,2026,final,0.9106703421146608,13,0.9139579349904398,0.9363092210669194,0.8913614993156342,0.9363092210669194,0.9138882236319331,279.53996086120605,f30ea2b356fc4a1cb4351cd2f38e0543,0.9791666666666666,0.8925619834710744,0.9066666666666666,0.8888888888888888,0.883495145631068,0.9,0.9239130434782609
vit_base_patch16_224,1,2026,final,0.8972921231688155,11,0.9082217973231358,0.9211835679379776,0.8801113618590047,0.9211835679379776,0.9083750584172283,254.5451476573944,eccc4125e55d46e6aa264c82236849f1,0.9896907216494846,0.8968253968253969,0.8493150684931506,0.8571428571428571,0.87,0.905982905982906,0.9120879120879121
vit_base_patch16_224,2,2026,final,0.898762485787693,15,0.904397705544933,0.9039464814149862,0.8948004407552944,0.9039464814149862,0.9044354875211605,294.0851571559906,dce31062c3204034be9641183e109b42,0.9948717948717949,0.8828125,0.8055555555555556,0.9166666666666666,0.8686868686868687,0.9166666666666666,0.9060773480662984
vit_base_patch16_224,3,2026,final,0.9129071638816869,6,0.9063097514340345,0.9181571544850013,0.9111031290907324,0.9181571544850013,0.9056694030700595,188.59560537338257,64f3841d3dc44e468e3ec909aca12939,0.9894736842105263,0.8698884758364313,0.8695652173913043,0.9565217391304348,0.837696335078534,0.9310344827586207,0.9361702127659575
vit_base_patch16_224,4,2026,final,0.880229949305803,13,0.9003831417624522,0.8906377851450394,0.872618938698332,0.8906377851450394,0.9005013871134905,278.25596618652344,2a61be91706f4900b478ba555478ac03,0.9787234042553191,0.8784313725490196,0.9014084507042254,0.75,0.8743718592964824,0.847457627118644,0.9312169312169312
