model,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,balanced_acc_mean,balanced_acc_std,weighted_f1_mean,weighted_f1_std,best_epoch_mean,runtime_mean,n
efficientnet_b0,0.8243741711498642,0.01433440115023524,0.8598560715393313,0.012709035022784228,0.8756458132384226,0.013787266376247023,0.8639518404110634,0.012656024882555515,14.4,213.94507247606913,15
mobilenetv2_100,0.82262645651629,0.017093258553507438,0.8465987316518074,0.01526691519780816,0.8608100841083604,0.013507261328149422,0.8489606573857462,0.015072292612646393,18.466666666666665,257.3447305202484,15
resnet50,0.8766501140476904,0.013824679051346211,0.8842101150402066,0.010758038873185393,0.8994233730942394,0.011292996450725495,0.884768665716159,0.010737203368833183,17.333333333333332,252.0555569966634,15
vit_base_patch16_224,0.8984060964554763,0.012044812657351507,0.9049989133327961,0.011954663959614196,0.9122864621920493,0.016410038969768764,0.9051240617863681,0.01196513401238748,12.333333333333334,267.1795987447103,15
