model,sample_id,class_name,iou,pg
vit_base_patch16_224,Fungi_02,Fungi,0.02108060230292294,0
vit_base_patch16_224,Fungi_03,Fungi,0.11114035664933869,0
vit_base_patch16_224,Fungi_04,Fungi,0.0039229671897289585,0
vit_base_patch16_224,Fungi_05,Fungi,0.0,0
vit_base_patch16_224,Fungi_06,Fungi,0.018367840167566263,0
vit_base_patch16_224,Fungi_07,Fungi,0.1352258064516129,0
vit_base_patch16_224,Fungi_08,Fungi,0.2075587752870421,0
vit_base_patch16_224,Fungi_09,Fungi,0.01381331100879029,0
vit_base_patch16_224,Fungi_10,Fungi,0.029183797263597763,1
vit_base_patch16_224,Fungi_11,Fungi,0.0428583002511545,0
vit_base_patch16_224,Fungi_12,Fungi,0.035954063604240284,0
vit_base_patch16_224,Fungi_13,Fungi,0.037283713265586375,0
vit_base_patch16_224,Fungi_14,Fungi,0.12043824387167967,0
vit_base_patch16_224,Fungi_16,Fungi,0.015296198054818744,0
vit_base_patch16_224,Fungi_17,Fungi,0.08896183832581042,0
vit_base_patch16_224,Fungi_18,Fungi,0.03509856446184491,0
vit_base_patch16_224,Nematode_00,Nematode,0.11678966789667897,0
vit_base_patch16_224,Nematode_01,Nematode,0.20310532941670165,0
vit_base_patch16_224,Nematode_02,Nematode,0.19990888382687927,0
vit_base_patch16_224,Nematode_03,Nematode,0.18216674097191263,0
vit_base_patch16_224,Nematode_04,Nematode,0.16203883495145632,0
vit_base_patch16_224,Nematode_05,Nematode,0.07349081364829396,0
vit_base_patch16_224,Nematode_06,Nematode,0.08392339877695526,0
vit_base_patch16_224,Nematode_07,Nematode,0.0,0
vit_base_patch16_224,Nematode_09,Nematode,0.19483315392895587,0
vit_base_patch16_224,Pest_00,Pest,0.06657316503038803,0
vit_base_patch16_224,Pest_01,Pest,0.08992875024070865,0
vit_base_patch16_224,Pest_02,Pest,0.0,0
vit_base_patch16_224,Pest_03,Pest,0.013775736927862539,0
vit_base_patch16_224,Pest_04,Pest,0.011779293242405457,0
vit_base_patch16_224,Pest_05,Pest,0.10662296346283621,0
vit_base_patch16_224,Pest_06,Pest,0.09901477832512315,0
vit_base_patch16_224,Pest_07,Pest,0.04817143363145311,0
vit_base_patch16_224,Pest_08,Pest,0.0776477738945449,0
vit_base_patch16_224,Pest_09,Pest,0.193594054149708,0
vit_base_patch16_224,Pest_10,Pest,0.011987381703470032,0
vit_base_patch16_224,Pest_11,Pest,0.054249945091148694,0
vit_base_patch16_224,Pest_12,Pest,0.05808340587164675,1
